
"IDCOTIZA","IDCLTE","FECHA","STATUS","VALOR_USD","VALOR_MXP","IDUSRELAB","IDUSRVEND","CDMESS","OV","PO","DESCRIPCION","FECHAOV","ID_SOLICITUD","FECHA_ELABORA_SOLICITUD","FECHA_ASIGNACION_SOLICITUD","IDCONTACTO","id","CANT","PROYECTO","MARCA","MOCELO","SERIE"
"1-2023","685","2023-01-02 06:52:41","Canceladas","600.000000","11616.9000000000","175","229","L1-20","SIN OV","SIN PO","Medición con requerimientos específicos. Servicio con Acreditación EMA.","","MESS-SCT-11644-2022","2022-12-29 22:15:16","2022-12-30 08:12:54","-","82019","1","58047","-","-","-"
"1-2023","685","2023-01-02 06:52:41","Canceladas","600.000000","11616.9000000000","175","229","L1-20","SIN OV","SIN PO","Medición con requerimientos específicos. Servicio con Acreditación EMA.","","MESS-SCT-11644-2022","2022-12-29 22:15:16","2022-12-30 08:12:54","-","82019","1","58047","-","-","-"
"7690-2022","1614","2022-06-29 08:20:23","Canceladas","1000.000000","19984.7000000000","120","44","S2-114","SIN OV","SIN PO","Servicio de Mantenimiento Preventivo","","MESS-SCT-5962-2022","2022-06-28 18:01:35","2022-06-29 07:42:08","-","74425","1","51724","-","-","-"
"10460-2022","5579","2022-08-30 14:11:15","Perdidas","175.999900","3519.0300000000","125","361","P28-140","SIN OV","SIN PO","60HRB, Rockwell Test Block, Carbide","","MESS-SCT-8011-2022","2022-08-29 16:19:52","2022-12-29 13:58:39","-","77195","1","53982","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","7246.000000","144414.9538000000","230","44","P27-59","SIN OV","SIN PO","EcoMet 30 Single Manual","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","672.000000","13393.1616000000","230","44","P29-1182","SIN OV","SIN PO","EcoMet 30 Platen Accessory Kit, 10in","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","110.000000","2192.3330000000","230","44","P29-1137","SIN OV","SIN PO","Paper Holding Band, 10in","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"3-2023","735","2023-01-02 09:33:55","Canceladas","950.000000","18497.9250000000","175","159","S6-6","SIN OV","SIN PO","Servicio de medición por día con Software Polyworks. Entrega de informe de medición en formato (.PDF).","","MESS-SCT-1-2023","2023-01-02 08:54:41","2023-01-02 09:30:00","-","82021","1","58053","-","-","-"
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","220.000000","4344.6040000000","175","357","L1-20","88-2023","732950","Medición con requerimientos específicos. Servicio con Acreditación EMA.","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","Sin referencia","Sin referencia","Sin referencia"
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","220.000000","4344.6040000000","175","357","L1-20","88-2023","732950","Medición con requerimientos específicos. Servicio con Acreditación EMA.","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","-","",""
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","400.000000","7899.2800000000","175","357","L1-20","88-2023","732950","Medición con requerimientos específicos. Servicio con Acreditación EMA.","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","Sin referencia","Sin referencia","Sin referencia"
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","168.000000","3317.6976000000","175","357","Sin registro","88-2023","732950","Mensajeria","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","Sin referencia","Sin referencia","Sin referencia"
"5-2023","2926","2023-01-02 10:01:42","Caducadas","56.492823","1100.0000000000","231","48","L6-24","SIN OV","SIN PO","Calibración de Torquímetro. Alcance de 0,2 Nm a 1500 Nm. Sentido Horario y Contra Horario. Servicio con Acreditación EMA.","","MESS-CT-5-2023","2023-01-02 10:01:42","2023-01-02 10:01:42","-","82023","1","57768","-","-","-"
"5-2023","2926","2023-01-02 10:01:42","Caducadas","77.035668","1500.0000000000","231","48","L6-90","SIN OV","SIN PO","Mantenimiento de Torquímetro.","","MESS-CT-5-2023","2023-01-02 10:01:42","2023-01-02 10:01:42","-","82023","1","57768","-","-","-"
"5-2023","2926","2023-01-02 10:01:42","Caducadas","458.079758","8919.5000000000","231","48","P6-83","SIN OV","SIN PO","MATERIAL","","MESS-CT-5-2023","2023-01-02 10:01:42","2023-01-02 10:01:42","-","82023","1","57768","-","-","-"
"6-2023","216","2023-01-02 10:13:59","Ganadas","80.117094","1560.0000000000","15","174","L15-1","71-2023","EE215590","Calibración/Medición de Equipo por Contratación Externa (Calibración/Medición de Equipo por Contratación Externa)","2023-01-05 11:03:02","MESS-CT-6-2023","2023-01-02 10:13:59","2023-01-02 10:13:59","-","82024","1","0","-","-","-"
"6-2023","216","2023-01-02 10:13:59","Ganadas","61.628534","1200.0000000000","15","174","Sin registro","71-2023","EE215590","Viáticos","2023-01-05 11:03:02","MESS-CT-6-2023","2023-01-02 10:13:59","2023-01-02 10:13:59","-","82024","1","0","-","-","-"
"7-2023","2394","2023-01-02 10:41:20","Ganadas","600.000000","11682.9000000000","295","30","S1-5","183-2023","MTM886542","Hora de Servicio","2023-01-11 13:52:47","MESS-CT-7-2023","2023-01-02 10:41:20","2023-01-02 10:41:20","-","82025","4","58058","-","-","-"
"8-2023","59","2023-01-02 11:03:17","Ganadas","760.000000","14798.3400000000","10","10","S3-280","37-2023","4200034427","Calibración de Perfilómetro. Servicio con Acreditación EMA.","2023-01-03 18:12:37","MESS-CT-8-2023","2023-01-02 11:03:16","2023-01-02 11:03:16","-","82026","1","58059","-","Optacom VC-10","211815-3-9"
"8-2023","59","2023-01-02 11:03:17","Ganadas","760.000000","14798.3400000000","10","10","S3-280","37-2023","4200034427","Calibración de Perfilómetro. Servicio con Acreditación EMA.","2023-01-03 18:12:37","MESS-CT-8-2023","2023-01-02 11:03:16","2023-01-02 11:03:16","-","82026","1","58059","Nikon","V-12B","68576"
"8-2023","59","2023-01-02 11:03:17","Ganadas","760.000000","14798.3400000000","10","10","S3-280","37-2023","4200034427","Calibración de Perfilómetro. Servicio con Acreditación EMA.","2023-01-03 18:12:37","MESS-CT-8-2023","2023-01-02 11:03:16","2023-01-02 11:03:16","-","82026","1","58059","Mitutoyo","RA-210CNC","620101"
"8-2023","59","2023-01-02 11:03:17","Ganadas","760.000000","14798.3400000000","10","10","S5-35","37-2023","4200034427","Calibración de Maquina de Redondez RA-2100. Servicio con Acreditación EMA.","2023-01-03 18:12:37","MESS-CT-8-2023","2023-01-02 11:03:16","2023-01-02 11:03:16","-","82026","1","58059","-","-","-"
"8-2023","59","2023-01-02 11:03:17","Ganadas","427.500000","8324.0662500000","10","10","S3-232","37-2023","4200034427","Calibración de Comparador Óptico Nikon Profile Proyector V-12B 450. Servicio con Acreditación A2LA.","2023-01-03 18:12:37","MESS-CT-8-2023","2023-01-02 11:03:16","2023-01-02 11:03:16","-","82026","1","58059","-","-","-"
"9-2023","164","2023-01-02 11:03:38","Ganadas","118.121357","2300.0000000000","231","229","L5-15","135-2023","104797","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 0,2N a 1000N. Dos sentidos (tracción y compresión). Servicio con Acreditación EMA.","2023-01-10 09:54:56","MESS-SCT-3-2023","2023-01-02 09:34:02","2023-01-02 09:39:26","-","82027","1","58055","Mecmesin","AFG 1000N","10-0248-02"
"13097-2022","256","2022-10-28 05:14:42","Canceladas","343.999839","6830.2200000000","125","229","P29-579","SIN OV","SIN PO","MicroCut Plain, 1200 [P2500], 10in","","MESS-CT-13097-2022","2023-01-02 11:22:18","2023-01-02 11:22:18","-","79832","1","0","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","1943.500000","39502.6092500000","229","44","P4-322","SIN OV","SIN PO","Force gauge, 750 lbF / 12000 ozF / 375 kgF / 3750 N / 3.75 kN, M5-750","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","8705.500000","176943.6402500000","229","44","P4-522","SIN OV","SIN PO","Test stand with force gauge mount, motorized, 750 lbF / 3.4 kN","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","1322.500000","26880.4737500000","229","44","P4-644","SIN OV","SIN PO","Wedge grip, 0.75” jaw width, 5/16-18F, G1061","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","2","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","218.500000","4441.1217500000","229","44","P4-741","SIN OV","SIN PO","Force gauge adapter kit, 5/16-18F","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","2","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","2080.000000","42277.0400000000","229","44","P4-531","SIN OV","SIN PO","Travel indication with USB output, ESM1500 / ESM750","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","1213.250000","24659.9128750000","229","44","P4-533","SIN OV","SIN PO","Computer control via USB","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","586.500000","11920.9057500000","229","44","P4-536","SIN OV","SIN PO","Auto return","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","908.500000","18465.7167500000","229","44","P4-763","SIN OV","SIN PO","MESUR gauge Plus","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","221.400000","4500.0657000000","229","44","S8-4","SIN OV","SIN PO","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 1kN a 10kN. Dos sentidos (tracción y compresión). Servicio con Acreditación EMA.","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11936-2021","1527","2021-10-29 15:01:45","Canceladas","100.000000","2032.5500000000","229","44","Sin registro","SIN OV","SIN PO","Mensajeria","","MESS-CT-11936-2021","2023-01-02 11:41:27","2023-01-02 11:41:27","-","64702","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","818.750000","16530.3168750000","229","278","P12-53","SIN OV","SIN PO","Joystick","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","7400.000000","149403.7800000000","229","278","P12-128","SIN OV","SIN PO","Electronic extensometer ELAST, gauge length Lo adjustable from 10 to 100 mm","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","5062.500000","102210.3562500000","229","278","P12-81","SIN OV","SIN PO","Software LABTEST ""Full Package"" version, WINDOWS based, up to Quasar 25","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","1500.000000","30284.5500000000","229","278","S8-27","SIN OV","SIN PO","Instalación, Calibración y Capacitación de Máquina Universal Galdabini. Modelos: Quasar 2,5; Quasar 5; Quasar 10; Quasar 25 (Incluye: Supervisión y asesoría en las maniobras de desembalaje). (No incluye: Maniobras de descarga y movimiento).","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","4546.530000","91793.0767410000","229","278","Sin registro","SIN OV","SIN PO","Transporte, embalaje, seguro e importación; Quasar 2.5kN a 25kN (No incluye maniobras de descarga, desembalaje ni puesta en sitio del equipo en el lugar asignado.)","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","15400.000000","310921.3800000000","229","278","P12-1","SIN OV","SIN PO","Maquina Universal Galdabini, Quasar 2.5, una columna, 2.5 kN max. capacidad, total stroke 1000 mm","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","2425.000000","48960.0225000000","229","278","P12-2","SIN OV","SIN PO","Celda de carga, 2,5 kN max. capacidad","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","618.750000","12492.3768750000","229","278","P12-34","SIN OV","SIN PO","Parallel grips, max load 2 kN, control with knob and on the other side with screw, opening 0 to 20 mm. need inserts. Plug connection 15.9 / 8 for Q. 2.5 or 20/8 for Q. 5-25","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","275.000000","5552.1675000000","229","278","P12-75","SIN OV","SIN PO","Pyramid inserts, width 30 mm height 30 mm","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","2000.000000","40379.4000000000","229","278","P12-54","SIN OV","SIN PO","Computadora CORE I5 7500 DE 3.4GHZ HASTA 3.8GHZ VPRO / 4GB / 500GB / DVDRW / WINDOWS 10 PRO","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","1800.000000","36341.4600000000","229","278","P6-103","SIN OV","SIN PO","Mesa Mess Heavy Duty","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","1606.250000","32429.7056250000","229","278","P12-74","SIN OV","SIN PO","3 point flexure fixture nickeled steel. Span up to max. 150 mm (support lenght 200 mm) rollers width 30 mm upper punch with fixed radius (to be chosen and included Cod TQ238-FR), lower routable supports with 2 radius (to be chosen and included Cod TQ238-AR) max load 10 kN, plug connection 15,9/8 or 20/8","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"11809-2021","1527","2021-10-27 00:42:42","Canceladas","462.500000","9337.7362500000","229","278","P12-224","SIN OV","SIN PO","Couple of fixed compression plates in steel ø 96 mm, plug connection 15.9 / 8 max load 5 KN nickel plated -70 ° C to +350 ° C 58 HRC","","MESS-CT-11809-2021","2023-01-02 11:46:44","2023-01-02 11:46:44","-","64575","1","43523","-","-","-"
"10-2023","2911","2023-01-02 12:07:31","En proceso","840.604987","16367.8400000000","366","6","S3-238","SIN OV","SIN PO","Calibración de Medidor de Redondez Aerospect SPS. Servicio con Acreditación EMA.","","MESS-CT-10-2023","2023-01-02 12:07:31","2023-01-02 12:07:31","-","82028","1","0","-","-","-"
"12-2023","5433","2023-01-02 12:35:09","En proceso","1700.000000","33101.5500000000","120","174","P20-53","SIN OV","SIN PO","MATERIAL","","MESS-CT-12-2023","2023-01-02 12:35:09","2023-01-02 12:35:09","-","82030","1","0","-","-","-"
"13-2023","604","2023-01-02 12:41:22","En proceso","1200.000000","23365.8000000000","366","174","S3-213","SIN OV","SIN PO","Calibración de Medidor de redondez Talyrond 565. Servicio con Acreditación EMA.","","MESS-CT-13-2023","2023-01-02 12:41:22","2023-01-02 12:41:22","-","82031","1","58347","-","-","-"
"13-2023","604","2023-01-02 12:41:22","En proceso","80.000000","1557.7200000000","366","174","Sin registro","SIN OV","SIN PO","Viáticos","","MESS-CT-13-2023","2023-01-02 12:41:22","2023-01-02 12:41:22","-","82031","1","58347","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","1425.000000","28219.2750000000","318","213","S5-72","SIN OV","SIN PO","Calibración de CMM Crysta Apex 776. Servicio con Acreditación EMA.","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","1","57540","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","760.000000","15050.2800000000","318","213","S5-37","SIN OV","SIN PO","Calibración de Maquina de Redondez RA-2200. Servicio con Acreditación EMA.","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","1","57540","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","722.000000","14297.7660000000","318","213","S5-124","SIN OV","SIN PO","Calibracion de Rugosimetro SJ-301. Acreditacion EMA","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","2","57540","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","375.250000","7431.0757500000","318","213","S13-11","SIN OV","SIN PO","Calibración de Probador de dureza Rockwell, incluye 2 escalas a seleccionar por el cliente entre (HRC, HRBW, HRA, HR15N, HR30N, HR15T, HR30T). Servicio con Acreditación EMA. Método: Indirecto por penetración. Ver incertidumbre en tabla CMC DZA-33.","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","1","57540","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","423.700000","8390.5311000000","318","213","S13-15","SIN OV","SIN PO","Calibración de Probador de dureza Vickers, Una escala a seleccionar (HV0.1. HV0.2,HV0.3, HV0.5, HV1, HV5, HV10,HV30). Servicio con Acreditación EMA. Método: Indirecto por penetración. Ver incertidumbre en tabla CMC DZA-33.","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","1","57540","-","-","-"
"14659-2022","908","2022-12-07 16:09:00","Canceladas","2000.000000","39606.0000000000","318","213","L15-1","SIN OV","SIN PO","Calibración/Medición de Equipo por Contratación Externa (Calibración/Medición de Equipo por Contratación Externa)","","MESS-SCT-11198-2022","2022-12-07 12:09:27","2022-12-07 15:16:26","-","81394","1","57540","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","2975.000000","57927.7125000000","295","30","S1-449","SIN OV","SIN PO","Calibración de CMM MICURA, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1615.000000","31446.4725000000","295","30","S2-22","SIN OV","SIN PO","Calibración de CMM Discovery D-8 Automática, opción extendido, servicio con acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1020.000000","19860.9300000000","295","30","S3-181","SIN OV","SIN PO","Calibración de Perfilómetro-Rugosímetro Form Talysurf Series 2. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1020.000000","19860.9300000000","295","30","S3-252","SIN OV","SIN PO","Calibración de Perfilómetro-Rugosímetro Form Talysurf i-Series. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1020.000000","19860.9300000000","295","30","S3-209","SIN OV","SIN PO","Calibración de Medidor de Redondez Rondcom 54. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1020.000000","19860.9300000000","295","30","S3-181","SIN OV","SIN PO","Calibración de Perfilómetro-Rugosímetro Form Talysurf Series 2. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","2975.000000","57927.7125000000","295","30","S1-449","SIN OV","SIN PO","Calibración de CMM MICURA, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","2975.000000","57927.7125000000","295","30","S1-449","SIN OV","SIN PO","Calibración de CMM MICURA, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","680.000000","13240.6200000000","295","30","S3-164","SIN OV","SIN PO","Calibración de Perfilómetro Contourecord 1700. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1020.000000","19860.9300000000","295","30","S3-209","SIN OV","SIN PO","Calibración de Medidor de Redondez Rondcom 54. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","2975.000000","57927.7125000000","295","30","S1-250","SIN OV","SIN PO","Calibración de CMM Contura G2, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"16-2023","683","2023-01-02 13:32:27","En proceso","1530.000000","29791.3950000000","295","30","S1-187","SIN OV","SIN PO","Calibración de CMM Duramax, Opción Extendida. Servicio con Acreditación EMA.","","MESS-CT-16-2023","2023-01-02 13:32:27","2023-01-02 13:32:27","-","82034","1","58068","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","816.500000","15898.4797500000","229","330","P4-347","SIN OV","SIN PO","Force gauge, 100 lbF / 50 kgF / 500 N, M3-100","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","1207.500000","23511.8362500000","229","330","P4-556","SIN OV","SIN PO","Test stand, hand wheel-operated, 200 lbF / 1 kN, ES30","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","230.000000","4478.4450000000","229","330","P4-560","SIN OV","SIN PO","Column extension for ES30, 12” / 300 mm","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","92.000000","1791.3780000000","229","330","P4-864","SIN OV","SIN PO","Cable, travel display to Mitutoyo SPC","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","402.500000","7837.2787500000","229","330","P4-865","SIN OV","SIN PO","Adapter, Mitutoyo to USB, 6' cable length","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","644.000000","12539.6460000000","229","330","P4-761","SIN OV","SIN PO","MESUR gauge, single license","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","667.000000","12987.4905000000","229","330","P4-614","SIN OV","SIN PO","Film and paper grip, 1.25” wide, #10-32F","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","2","58037","-","-","-"
"17-2023","5789","2023-01-02 13:55:26","Canceladas","65.000000","1265.6475000000","229","330","Sin registro","SIN OV","SIN PO","Mensajeria","","MESS-SCT-11636-2022","2022-12-29 09:36:04","2022-12-29 10:33:29","-","82035","1","58037","-","-","-"
"18-2023","534","2023-01-02 13:59:48","Ganadas","130.000000","2531.2950000000","231","10","Sin registro","608-2023","05157915","Viáticos","2023-01-30 16:17:14","MESS-SCT-7-2023","2023-01-02 12:20:13","2023-01-02 13:10:29","-","82036","1","58062","United","SSTM-10kN","1020532"
"18-2023","534","2023-01-02 13:59:48","Ganadas","263.000000","5121.0045000000","231","10","S8-4","608-2023","05157915","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 1kN a 10kN. Dos sentidos (tracción y compresión). Servicio con Acreditación EMA.","2023-01-30 16:17:14","MESS-SCT-7-2023","2023-01-02 12:20:13","2023-01-02 13:10:29","-","82036","1","58062","-","-","-"
"14761-2022","604","2022-12-09 12:28:35","Ganadas","162.657829","3200.0000000000","15","174","L2-13","7671-2022","PO ABIERTA","Calibración de indicador de vástago recto mayor a 25.4 mm a 101.6 mm (carátula o digital).Resolución hasta 0.001 mm. Servicio con acreditación ema. Incertidumbre mínima declarada U = ± (1.1 + 0.0020*L), L en mm","2022-12-09 12:29:13","MESS-CT-14761-2022","2023-01-02 14:11:18","2023-01-02 14:11:18","-","81496","4","0","-","-","-"
"14761-2022","604","2022-12-09 12:28:35","Ganadas","264.318972","5200.0000000000","15","174","L8-29","7671-2022","PO ABIERTA","Calibración de Termómetro Bimetálico (-45 °C a 700 °C). Acreditación PJLA","2022-12-09 12:29:13","MESS-CT-14761-2022","2023-01-02 14:11:18","2023-01-02 14:11:18","-","81496","4","0","-","-","-"
